Catalog Number,Alternative Number,Source,Species Group,Sex,Country,State/Province,County,Locality,Longitude,Latitude,Sample Type
TTU106013,TK145304,TTU,guyannensis,M,Suriname,Sipiliwini,No information,Lely Mountain,-54.73945,4.26732,FR
TTU34990,TK14603,TTU,longicaudatus,F,Bolivia,La Paz,No information,1 Mi W Puerto Linares,-67.53333,-15.46667,FR
TTU34991,TK14609,TTU,longicaudatus,M,Bolivia,La Paz,No information,1 Mi W Puerto Linares,-67.53333,-15.46667,FR
TTU46355,TK22895,TTU,longicaudatus,M,Peru,Huanuco,Leoncia Prada,"11.5 Km N, 4 Km E Tingo Maria",-75.95,-9.2,FR
TTU46356,TK22911,TTU,longicaudatus,M,Peru,Huanuco,Leoncia Prada,"12.5 Km N, 4 Km E Tingo Maria",-75.95,-9.2,FR
TTU101118,TK73760,TTU,simonsi,F,Peru,Loreto,Maynas,"Iquitos, 25 Km S, Estacion Biologica Allpahuayo",-73.26836,-4.02398,FR
TTU101173,TK73888,TTU,longicaudatus,F,Peru,Loreto,Maynas,"Iquitos, 25 Km S, Estacion Biologica Allpahuayo",-73.26836,-4.02398,FR
TTU101179,TK73909,TTU,longicaudatus,F,Peru,Loreto,Maynas,"Iquitos, 21 Km S, Estacion Biologica Allpahuayo",-73.26836,-4.02398,FR
TTU101195,TK73940,TTU,longicaudatus,F,Peru,Loreto,Maynas,"Iquitos, 21 Km S, Estacion Biologica Allpahuayo",-73.26836,-4.02398,FR
TTU101213,TK73977,TTU,longicaudatus,F,Peru,Loreto,Maynas,"Iquitos, 25 Km S, Estacion Biologica Allpahuayo",-73.26836,-4.02398,FR
UFMG4356,,UFMG,guyannensis,NA,Brazil,Pará,Canaã dos Carajás,Canaã dos Carajás,-49.85198,-6.53241,FR
UFPB1015,,UFPB,longicaudatus,M,Brazil,Amazonas,Presidente Figueiredo,UHE Balbina,-59.499,-1.93314,SK
UFPB1265,,UFPB,longicaudatus,M,Brazil,Rondônia,Candeias do Jamari,"Rio Jamari, UHE Samuel",-63.45693,-8.75272,SK
UFPB1266,,UFPB,longicaudatus,F,Brazil,Rondônia,Candeias do Jamari,"Rio Jamari, UHE Samuel",-63.45693,-8.75272,SK
UFPB2990,,UFPB,simonsi,F,Peru,Loreto,Alto Amazonas,Yurimaguás,-76.1094,-5.89482,DR
UFPB6734,,UFPB,guyannensis,NA,Brazil,Tocantins,Porto Nacional,"Chácara Santo Antônio de Pádua, Assentamento Santo Antônio (+ ou - 8km L Porto Nacional)",-48.33851,-10.71415,DR
UFPB6929,,UFPB,guyannensis,F,Brazil,Maranhão,Alcântara,Centro de Lançamento Aeroespacial (CLA Alcântara),-44.41654,-2.33712,DR
UFPB6931,,UFPB,guyannensis,F,Brazil,Maranhão,Alcântara,Centro de Lançamento Aeroespacial (CLA Alcântara),-44.41654,-2.33712,DR
UFPB6932,,UFPB,guyannensis,F,Brazil,Maranhão,Alcântara,Centro de Lançamento Aeroespacial (CLA Alcântara),-44.41654,-2.33712,DR
UMMZ80045,,UMMZ,simonsi,M,Ecuador,Napo,No information,"Llunchi, Rio Napo, Napo-Pastaza",-76.81724,-0.43999,DR
UMMZ80079,,UMMZ,goeldii,F,Ecuador,Napo,No information,"Llunchi, Rio Napo, Napo-Pastaza",-76.81724,-0.43999,DR
UMMZ92712,,UMMZ,semispinosus,NA,Colombia,Meta,Villavicencio,No information,-73.61667,4.15,DR
UNIBAN1392,,CIT,longicaudatus,,Brazil,Rondonia,Montenegro,No information,-63.22963,-10.21504,FR
USNM499715,,USNM,trinitatis,F,Colombia,Antioquia,Zaragoza,"25 Km S, 22 Km W, At La Tirana",-75.07118,7.30036,SK
USNM549559,,USNM,longicaudatus,M,Brazil,Para,Altamira,"Altamira, 52 Km SSW, E Bank Rio Xingu",-52.37,-3.65,FR
USNM549567,,USNM,longicaudatus,M,Brazil,Para,Altamira,"Altamira, 52 Km SSW, E Bank Rio Xingu",-52.37,-3.65,FR
USNM568055,,USNM,longicaudatus,M,Guyana,Barima-Waini,North West District,"Baramita, North West Of Airstrip Near Creek",-60.4911,7.3706,FR
USNM579697,,USNM,simonsi,F,Peru,Puno,No information,"Fila Boca Guacamayo, SE; Rio Tavara",-69.6844,-13.5044,FR
USNM581908,,USNM,longicaudatus,M,Bolivia,Santa Cruz,Chiquitos,"Santiago De Chiquitos, 46 Km From, On Road To Santo Corazon, 1 Km N Of Murcielago Camp",-59.0267,-18.0583,FR
USNM584593,,USNM,longicaudatus,M,Bolivia,Santa Cruz,Velasco,"Parque Nacional Kempff Mercado, El Refugio, 3 Km. NE",-61.0347,-14.7672,FR
USNM619001,LHE0742,USNM,simonsi,NA,Bolivia,La Paz,Iturraldi,"Río Madidi, Moire Camp",-68.7667,-13.5833,FR
USNM619002,LHE0747,USNM,goeldii,NA,Bolivia,La Paz,Iturraldi,"Río Madidi, Moire Camp",-68.7667,-13.5833,FR
USNM619003,LHE0820,USNM,simonsi,NA,Peru,Puno,No information,"Junction of Río Tavara, Guacamayo and Candamo, on the ridge to esat of Boca Guacamayo",-69.68355,-13.49957,FR
USNM619004,ALG14009,USNM,guyannensis,NA,Venezuela,Amazonas,No information,ca. 5 Km E San Carlos de Rio Negro,-67.01537,1.91987,FR
USNM619005,TTS382,USNM,longicaudatus,NA,Bolivia,Santa Cruz,No information,Cerro Mutún,-57.86666,-19.18331,FR
USNM619006,NBH1305,USNM,longicaudatus,NA,Bolivia,Beni,No information,Parque Nacional Noel Kempff Mercado ,-60.85286,-14.3699,FR
USNM619007,LLW424,USNM,simonsi,NA,Peru,Cusco,No information,Cordillera de Vilcabamba,-73.34073,-11.77955,FR
USNM619008,ACF076,USNM,simonsi,NA,Peru,Madre de Dios,No information,"Santuario Nacional Pampas del Heath, Refugio Juliaca",-68.88173,-12.95664,FR
X1M15,,LMUSP,longicaudatus,F,Brazil,Pará,Novo Repartimento,No information,-49.94611,-4.25168,FR
X1M19,,LMUSP,guyannensis,F,Brazil,Pará,Pacajá,No information,-50.63753,-3.83923,FR
X1M24,,LMUSP,longicaudatus,M,Brazil,Pará,Pacajá,No information,-50.63753,-3.83923,FR
X1M36,,LMUSP,goeldii,M,Brazil,Pará,Marabá,No information,-49.09108,-5.34573,FR
Z9P01,,LMUSP,guyannensis,NA,Brazil,Goiás,Barro Alto,No information,-48.91626,-14.97213,FR
