Species,Longitude,Latitude,Voucher,Based on,Source,Locality
P. brevicauda,-69.2607,-8.8474,MPEG10666,morphology,MPEG,"Brazil: Acre: BR-364, Km 08"
P. brevicauda,-68.6714,-9.0792,MPEG10820,morphology,MPEG,Brazil: Acre: Bairro do Triângulo
P. brevicauda,-72.8000,-8.5664,MPEG28347,morphology,MPEG,"Brazil: Acre: Opposite Ocidente, left bank Rio Juruá"
P. brevicauda,-72.8509,-8.6004,MPEG28349,morphology,MPEG,"Brazil: Acre: Flora (=Fazenda Santa Fé), left bank Rio Juruá"
P. brevicauda,-72.8167,-8.3667,MPEG28363,morphology,MPEG,"Brazil: Acre: Sobral, left bank Rio Juruá"
P. brevicauda,-72.7633,-8.8339,MPEG775,morphology,MPEG,Brazil: Acre: Seringal Oriente
P. brevicauda,-66.7797,-11.7495,MSB236806,genomic (this study),MSB,Bolivia: Beni: Boca del Rio Biata
P. brevicauda,-65.5500,-17.1000,MSB70574,genomic (this study),MSB,"Bolivia: Cochabamba: El Palmar, Rio Cochi Mayu"
P. brevicauda,-65.4667,-17.0500,MSB70575,genomic (this study),MSB,Bolivia: Cochabamba: Villa Tunari
P. brevicauda,-71.2167,-10.1333,MVZ136648,morphology,MVZ,"Peru: Ucayali: Balta, Rio Curanja"
P. brevicauda,-69.0680,-12.6333,MVZ157855,genomic (this study),MVZ,"Peru: Madre de Dios: Lago Sandoval, Rio Madre de Dios"
P. brevicauda,-77.7510,-4.0220,MVZ157905,genomic (this study),MVZ,"Peru: Amazonas: La Poza, Rio Santiago"
P. brevicauda,-69.0729,-12.6000,MVZ168956,morphology,MVZ,Peru: Madre de Dios: Albergue Cusco Amazonica
P. brevicauda,-72.7830,-8.6666,MVZ194439,genomic (this study),MVZ,"Brazil: Acre: Igarapé Porongaba, right bank Rio Juruá"
P. brevicauda,-73.2684,-4.0240,TTU101213,genomic (this study),TTU,Peru: Loreto: Estacion Biologica Allpahuayo
P. brevicauda,-67.8099,-9.9747,UFMG1616,morphology,UFMG,Brazil: Acre: Fazenda Humaitá
P. brevicauda,-77.7105,-1.1304,UMMZ164870,morphology,UMMZ,Ecuador: Napo: Rio Shalcana
P. brevicauda,-77.8170,-0.9830,UMMZ80047,morphology,UMMZ,"Ecuador: Napo: San Francisco, Rio Napo, Aguarico"
P. brevicauda,-76.8172,-0.4400,UMMZ80065,morphology,UMMZ,"Ecuador: Napo: Llunchi, Rio Napo, Napo-Pastaza"
P. brevicauda,-76.6242,-0.4106,USNM513654,morphology,NMNH,Ecuador: Napo: Limoncocha
P. brevicauda,-72.9499,-11.5834,USNM582993,morphology,NMNH,"Peru: Cusco: Camisea, San Martin 3"
P. simonsi,-68.5754,-12.3986,AMNH263060,morphology,AMNH,Bolivia: Pando: Isla Gargantua
P. simonsi,-68.9168,-11.3501,AMNH263062,morphology,AMNH,Bolivia: Pando: Santa Rosa
P. simonsi,-73.1621,-5.2495,AMNH272677,mtDNA,Schetino 2008,"Peru: Loreto: Nuevo San Juan, Río Galvez"
P. simonsi,-62.2675,-4.4280,EFA037,genomic (this study),LMUSP,Brazil: Amazonas: Rio Purus
P. simonsi,-62.3071,-4.4315,EFA039,morphology,LMUSP,"Brazil: Amazonas: Rio Purus, Lago Ayapuá"
P. simonsi,-75.3333,0.4667,FMNH71154,morphology,FMNH,Colombia: Putumayo: Rio Mecaya
P. simonsi,-68.7468,-10.9984,LMUSP208,genomic (this study),LMUSP,Brazil: Acre: Reserva Extrativista Chico Mendes
P. simonsi,-65.4495,-9.6383,MJ251,morphology,MZUSP,Brazil: Rondônia: Abunã
P. simonsi,-64.8329,-9.4378,MJ397,morphology,MZUSP,Brazil: Rondônia: Caiçara
P. simonsi,-64.8600,-9.4567,MJ549,morphology,MZUSP,Brazil: Rondônia: Caiçara
P. simonsi,-65.4635,-9.6204,MJ572,morphology,MZUSP,Brazil: Rondônia: Abunã
P. simonsi,-65.4550,-9.6120,MJ833,morphology,MZUSP,Brazil: Rondônia: Abunã
P. simonsi,-73.6674,-4.9063,MN35881,morphology,MN,"Peru: Loreto: Genaro Herrera, Rio Ucayali"
P. simonsi,-69.2607,-8.8474,MPEG10633,morphology,MPEG,"Brazil: Acre: BR-364, Km 08"
P. simonsi,-68.6714,-9.0792,MPEG10803,morphology,MPEG,Brazil: Acre: Bairro do Triângulo
P. simonsi,-64.7199,-3.3539,MPEG22871,morphology,MPEG,Brazil: Amazonas: Tefé
P. simonsi,-65.7088,-2.2169,MPEG26357,morphology,MPEG,Brazil: Amazonas: Estação Ecológica Mamirauá
P. simonsi,-72.8166,-8.3667,MPEG28400,morphology,MPEG,"Brazil: Acre: Sobral, left bank Rio Juruá"
P. simonsi,-66.0167,-3.3167,MPEG28412,morphology,MPEG,"Brazil: Amazonas: Lago Vai-quem-quer, right bank, Rio Juruá"
P. simonsi,-70.8500,-6.7500,MPEG28424,morphology,MPEG,"Brazil: Amazonas: Seringal Condor, left bank Rio Juruá"
P. simonsi,-68.8922,-6.5828,MPEG28432,morphology,MPEG,"Brazil: Amazonas: Altamira, right bank Rio Juruá"
P. simonsi,-72.7830,-8.6666,MPEG28456,morphology,MPEG,"Brazil: Acre: Igarapé Porongaba, right bank Rio Juruá"
P. simonsi,-71.2167,-10.1333,MVZ136650,morphology,MVZ,"Peru: Ucayali: Balta, Rio Curanja"
P. simonsi,-77.7510,-4.0220,MVZ157968,genomic (this study),MVZ,"Peru: Amazonas: La Poza, Rio Santiago"
P. simonsi,-69.0729,-12.6000,MVZ168955,morphology,MVZ,Peru: Madre de Dios: Albergue Cusco Amazonica
P. simonsi,-68.7667,-6.4667,MVZ194775,genomic (this study),MVZ,"Brazil: Amazonas: Barro Vermelho, left bank Rio Juruá"
P. simonsi,-72.7633,-8.8339,MZUSP25837,morphology,MZUSP,Brazil: Acre: Seringal Oriente
P. simonsi,-64.6795,-9.2769,SA11659,morphology,MZUSP,Brazil: Rondônia: Resgate UHE Jirau
P. simonsi,-73.2684,-4.0240,TTU101118,genomic (this study),TTU,"Peru: Loreto: Iquitos, 25 Km S, Estacion Biologica Allpahuayo"
P. simonsi,-76.1094,-5.8948,UFPB2990,morphology,UFPB,Peru: Loreto: Yurimaguás
P. simonsi,-71.3938,-12.8298,UMMZ160537,morphology,UMMZ,Peru: Madre de Dios: Hacienda Erika
P. simonsi,-71.2617,-12.6800,UMMZ160538,morphology,UMMZ,Peru: Madre de Dios: Aguas Calientes
P. simonsi,-77.7105,-1.1304,UMMZ164869,morphology,UMMZ,Ecuador: Napo: Rio Shalcana
P. simonsi,-76.8172,-0.4400,UMMZ80043,morphology,UMMZ,"Ecuador: Napo: Llunchi, Rio Napo, Napo-Pastaza"
P. simonsi,-77.8170,-0.9830,UMMZ80046,morphology,UMMZ,"Ecuador: Napo: San Francisco, Rio Napo, Aguarico"
P. simonsi,-69.2374,-12.5966,USNM364151,morphology,NMNH,Peru: Madre de Dios: Tambopata
P. simonsi,-75.2163,-9.8671,USNM364511,morphology,NMNH,Peru: Pasco: San Juan
P. simonsi,-69.1834,-12.5880,USNM390367,morphology,NMNH,Peru: Madre de Dios: Puerto Maldonado
P. simonsi,-75.0880,-8.3941,USNM461292,morphology,NMNH,Peru: Coronel Portillo: Pucallpa
P. simonsi,-69.2070,-12.7205,USNM530935,morphology,NMNH,Peru: Madre de Dios: Rio Tambopata
P. simonsi,-68.7700,-13.5800,USNM579259,morphology,NMNH,Bolivia: La Paz: Alto Rio Madidi
P. simonsi,-66.7333,-10.7667,USNM579616,morphology,NMNH,Bolivia: Pando: San Juan De Nuevo Mundo
P. simonsi,-69.6122,-13.1472,USNM579695,morphology,NMNH,"Peru: Madre de Dios: Colpa De Guacamayos, Rio Tambopata"
P. simonsi,-68.9022,-12.9589,USNM579698,morphology,NMNH,Peru: Puno: “Aguas Claras” Camp
P. simonsi,-72.9499,-11.5834,USNM582772,morphology,NMNH,"Peru: Cusco: Camisea, Pagoreni"
P. simonsi,-73.3258,-11.7667,USNM588063,morphology,NMNH,Peru: Cusco: Tangoshiari
P. simonsi,-73.3406,-11.7794,USNM619007,genomic (this study),NMNH,Peru: Cusco: Cordillera de Vilcabamba
P. simonsi,-68.8817,-12.9566,USNM619008,genomic (this study),NMNH,Peru: Madre de Dios: Santuario Nacional Pampas del Heath
P. steerei,-74.5688,-8.3931,AMNH147499,morphology,AMNH,Peru: Ucayali: Pucallpa
P. steerei,-65.3132,-10.8469,AMNH210348,morphology,AMNH,Bolivia: Beni: Guayaramerin
P. steerei,-64.8499,-15.3709,AMNH214648,morphology,AMNH,Bolivia: Beni: Buena Hora
P. steerei,-65.1551,-12.4315,AMNH214651,morphology,AMNH,Bolivia: Beni: Mamore River
P. steerei,-65.0679,-11.9060,AMNH214665,morphology,AMNH,Bolivia: Beni: Lagoinha
P. steerei,-75.2163,-9.8671,AMNH230895,morphology,AMNH,Peru: Pasco: San Juan
P. steerei,-67.2000,-11.3833,AMNH263056,morphology,AMNH,Bolivia: Pando: Bella Vista
P. steerei,-67.2167,-11.4000,AMNH263057,morphology,AMNH,Bolivia: Pando: La Cruz
P. steerei,-66.3167,-10.9833,AMNH263088,morphology,AMNH,Bolivia: Pando: Rio Madre de Dios
P. steerei,-68.5754,-12.3986,AMNH263112,morphology,AMNH,Bolivia: Pando: Isla Gargantua
P. steerei,-67.4500,-10.7000,AMNH263116,morphology,AMNH,Bolivia: Pando: Remanso
P. steerei,-73.1621,-5.2495,AMNH268279,morphology,AMNH,"Peru: Loreto: Nuevo San Juan, Río Galvez"
P. steerei,-73.0472,-3.5014,AMNH73288,morphology,AMNH,Peru: Loreto: Puerto Indiana
P. steerei,-72.1333,-3.4333,AMNH73803,morphology,AMNH,Peru: Loreto: Orosa
P. steerei,-73.8156,-10.6817,AMNH76072,morphology,AMNH,Peru: Ucayali: Santa Rosa
P. steerei,-75.0996,-6.7333,AMNH76261,morphology,AMNH,Peru: Loreto: Sarayacu
P. steerei,-73.0885,-3.4972,AMNH98797,morphology,AMNH,Peru: Loreto: Rio Panduro
P. steerei,-76.1094,-5.8948,MN35870,morphology,MN,Peru: Loreto: Yurimaguás
P. steerei,-73.2282,-3.9134,MN35877,morphology,MN,Peru: Loreto: Isla Muyuy
P. steerei,-72.7830,-8.6666,MNFS1136,mtDNA,Schetino 2008,"Brazil: Acre: Igarapé Porongaba, right bank Rio Juruá"
P. steerei,-69.2607,-8.8474,MPEG10642,morphology,MPEG,"Brazil: Acre: BR-364, Km 08"
P. steerei,-71.6237,-4.5357,MPEG1616,morphology,MPEG,"Brazil: Amazonas: Estirão do Equador, Rio Javari"
P. steerei,-70.7336,-6.8000,MPEG28537,morphology,MPEG,"Brazil: Amazonas: Igarapé Nova Empresa, left bank, Rio Juruá"
P. steerei,-70.8500,-6.7500,MPEG28558,morphology,MPEG,"Brazil: Acre: Sacado (Condor), right bank Rio Juruá"
P. steerei,-68.9165,-6.5336,MPEG28567,morphology,MPEG,"Brazil: Amazonas: Boa Esperança, right bank, Rio Juruá"
P. steerei,-72.8509,-8.6004,MPEG28570,morphology,MPEG,"Brazil: Acre: Flora (=Fazenda Santa Fé), left bank Rio Juruá"
P. steerei,-72.8166,-8.3667,MPEG28573,morphology,MPEG,"Brazil: Acre: Nova Vida, right bank Rio Juruá"
P. steerei,-66.2167,-11.0167,MSB211815,genomic (this study),MSB,Bolivia: Pando: Agua Dulce
P. steerei,-67.5602,-11.4900,MSB236689,genomic (this study),MSB,Bolivia: Pando: Opposite Independencia
P. steerei,-68.8498,-11.3506,MSB236698,genomic (this study),MSB,Bolivia: Pando: La Cruz
P. steerei,-66.7797,-11.7495,MSB236807,genomic (this study),MSB,Bolivia: Beni: Boca del Rio Biata
P. steerei,-69.0729,-12.6000,MVZ168943,morphology,MVZ,Peru: Madre de Dios: Albergue Cusco Amazonica
P. steerei,-66.2333,-3.2833,MVZ190951,genomic (this study),MVZ,Brazil: Amazonas: Ilhazinha
P. steerei,-66.0000,-3.3167,MVZ190954,genomic (this study),MVZ,"Brazil: Amazonas: Ilha Paxiuba, right bank Rio Juruá"
P. steerei,-70.7501,-6.8334,MVZ194987,genomic (this study),MVZ,"Brazil: Amazonas: Penedo, right bank Rio Juruá"
P. steerei,-68.7667,-6.4667,MVZ195036,genomic (this study),MVZ,"Brazil: Amazonas: Jainu, right bank, Rio Juruá"
P. steerei,-67.2833,-9.8000,MZUSP7347,morphology,MZUSP,"Brazil: Acre: Iquiri [Colocação Iquiri, Rio Branco, AC]"
P. steerei,-66.5853,-5.6364,UFMG6021,morphology,UFMG,Brazil: Amazonas: BAPE Suruwahá
P. steerei,-65.7716,-7.6638,USNM105537,morphology,NMNH,"Brazil: Amazonas: Purus River, Hyantanhan [=Huitanaã]"
P. steerei,-66.0913,-10.9525,USNM364009,morphology,NMNH,Bolivia: Pando: Manuripi
P. steerei,-66.0647,-10.9991,USNM391660,morphology,NMNH,"Bolivia: Beni: Riberalta, Vaca Diez"
P. steerei,-65.6349,-14.9876,USNM391665,morphology,NMNH,Bolivia: Beni: San Ignacio
P. steerei,-75.0880,-8.3941,USNM461342,morphology,NMNH,Peru: Coronel Portillo: Pucallpa
P. steerei,-71.0451,-12.1561,USNM530931,morphology,NMNH,Peru: Madre de Dios: Pakitza
P. steerei,-71.1120,-12.0905,USNM559415,morphology,NMNH,Peru: Madre de Dios: Rio Manu
P. steerei,-68.7667,-13.5833,USNM619002,genomic (this study),NMNH,"Bolivia: La Paz: Río Madidi, Moire Camp"
