Samples,Clades,Subclades,Initial Reads,Filtered Reads,Initial Clusters,Filtered Clusters,H,HE,Final Clusters,Loci Retained
MVZ194567,A,GJR,"1,884,446","1,882,495","325,434","66,022",0.011,0.002,"62,725","6,899"
MVZ194582,A,ATH,"839,115","838,414","159,305","48,548",0.010,0.002,"46,251","4,916"
MVZ194874,A,UJR,"2,626,650","2,624,245","474,978","79,458",0.011,0.003,"73,690","11,210"
MVZ194879,A,UJR,"1,759,530","1,757,966","312,783","63,610",0.010,0.003,"59,708","9,350"
MVZ194914,A,CLJ,"3,147,232","3,144,201","473,314","80,987",0.009,0.003,"75,571","11,270"
MVZ194987,A,CLJ,"2,649,630","2,647,221","439,430","78,430",0.009,0.003,"73,465","12,136"
MVZ196095,D,MAR,"151,445","151,231","72,935","5,230",0.006,0.004,"4,835",376
MVZ225064,D,SEM,"3,403,305","3,399,963","476,625","80,606",0.007,0.002,"76,597","8,414"
MVZ225082,HG,HG,"3,673,839","3,670,151","455,668","84,417",0.008,0.002,"80,050","4,975"
MZUSP30370,B,CER,"3,192,286","3,189,447","301,742","73,339",0.005,0.002,"70,824","13,895"
MZUSP31924,A,PTI,"2,895,615","2,892,827","260,567","72,153",0.008,0.002,"69,010","12,102"
MZUSP31942,B,TXI,"2,980,107","2,977,260","300,271","74,560",0.007,0.002,"71,840","13,763"
MZUSP31947,B,TXI,"2,852,271","2,849,567","309,353","73,524",0.006,0.002,"71,000","13,688"
NUTRIA289,OUT,OUT,"2,242,635","2,240,340","328,132","68,584",0.005,0.002,"65,852","1,382"
ROM115116,TEP,TEP,"238,801","238,591","70,571","10,508",0.008,0.002,"9,885",394
TTU101118,E,IQT,"1,836,157","1,834,449","286,697","63,188",0.007,0.003,"60,405","5,171"
TTU101173,D,LOR,"1,636,788","1,635,185","352,978","60,685",0.005,0.003,"57,456","10,330"
TTU101213,D,NSM,"1,915,489","1,913,686","378,740","68,192",0.008,0.003,"64,245","9,941"
TTU106013,C,GUS,"2,039,625","2,037,504","294,435","62,661",0.006,0.002,"59,997","6,211"
USNM549559,D,SAR,"1,413,419","1,412,033","279,142","54,892",0.005,0.003,"52,105","9,319"
USNM584593,D,SCE,"2,479,653","2,477,161","337,134","66,992",0.008,0.001,"64,120","9,499"
X1M15,D,SAR,"1,357,606","1,356,316","198,154","62,148",0.005,0.002,"60,088","11,848"
X1M36,A,EAM,"2,394,628","2,392,385","319,232","71,479",0.007,0.002,"68,657","11,687"
