Catalog Number,Alternative Number,Source,Species Group,Sex,Country,State/Province,County,Locality,Longitude,Latitude,Sample Type
MVZ194987,MPEG28540; MNFS497,MVZ,goeldii,F,Brazil,Amazonas,No information,"Penedo, right bank Rio Juruá",-70.75008,-6.83344,FR
MVZ196095,,MVZ,trinitatis,M,Colombia,Santander,Finca San Miguel,"San Pedro de la Paz, Cimitarra",-73.9511,6.31417,SK
MVZ225064,,MVZ,semispinosus,F,Panama,Chiriqui,"Boquerón, Tijeras",San Miguel,-82.58217,8.46342,FR
MVZ225082,,MVZ,Hoplomys gymnurus,M,Panama,Panama,No information,No information,-79.92578,8.68753,FR
MZUSP30370,UUPI412; CIT1465,CIT,guyannensis,M,Brazil,Piauí,Bom Jesus,Estação Ecológica de Urucuí-Una,-45.20264,-8.86342,FR
MZUSP31924,APC176; CIT648,CIT,goeldii,F,Brazil,Mato Grosso,Juruena,No information,-58.49231,-10.32276,FR
MZUSP31942,M97032; CIT483,CIT,guyannensis,NA,Brazil,Mato Grosso,Cláudia,No information,-54.87472,-11.50302,FR
MZUSP31947,APC273; CIT714,CIT,guyannensis,M,Brazil,Mato Grosso,Vila Rica,No information,-51.11932,-10.01433,FR
NUTRIA289,,CTA-UFES,Myocastor coypus,NA,No information,No information,No information,No information,NA,NA,FR
ROM115116,,ROM,trinitatis,F,Guyana,Cuyuni-Mazaruni,No information,"Mount Roraima, Ridge Camp",-60.76667,5.33333,FR
TTU101118,TK73760,TTU,simonsi,F,Peru,Loreto,Maynas,"Iquitos, 25 Km S, Estacion Biologica Allpahuayo",-73.26836,-4.02398,FR
TTU101173,TK73888,TTU,longicaudatus,F,Peru,Loreto,Maynas,"Iquitos, 25 Km S, Estacion Biologica Allpahuayo",-73.26836,-4.02398,FR
TTU101213,TK73977,TTU,longicaudatus,F,Peru,Loreto,Maynas,"Iquitos, 25 Km S, Estacion Biologica Allpahuayo",-73.26836,-4.02398,FR
TTU106013,TK145304,TTU,guyannensis,M,Suriname,Sipiliwini,No information,Lely Mountain,-54.73945,4.26732,FR
USNM549559,,USNM,longicaudatus,M,Brazil,Para,Altamira,"Altamira, 52 Km SSW, E Bank Rio Xingu",-52.37,-3.65,FR
USNM584593,,USNM,longicaudatus,M,Bolivia,Santa Cruz,Velasco,"Parque Nacional Kempff Mercado, El Refugio, 3 Km. NE",-61.0347,-14.7672,FR
X1M15,,LMUSP,longicaudatus,F,Brazil,Pará,Novo Repartimento,No information,-49.94611,-4.25168,FR
X1M36,,LMUSP,goeldii,M,Brazil,Pará,Marabá,No information,-49.09108,-5.34573,FR
